# step Etot Epot T p 
520 -7947.7634 -7947.7634 0.0 323.8981 
521 -7922.7709 -7922.7709 0.0 321.4174 
522 -7955.7143 -7955.7143 0.0 323.4477 
523 -7934.7799 -7934.7799 0.0 316.9171 
524 -7963.3759 -7963.3759 0.0 321.5094 
525 -7948.2155 -7948.2155 0.0 323.235 
526 -7971.0745 -7971.0745 0.0 322.389 
527 -7955.2733 -7955.2733 0.0 316.5584 
528 -7977.8068 -7977.8068 0.0 320.6008 
529 -7977.5839 -7977.5839 0.0 320.2413 
530 -7977.8049 -7977.8049 0.0 320.5652 
531 -7977.8069 -7977.8069 0.0 320.5972 
532 -7967.466 -7967.466 0.0 323.9235 
533 -7984.4989 -7984.4989 0.0 322.1377 
534 -7977.2766 -7977.2766 0.0 333.799 
535 -7990.981 -7990.981 0.0 327.124 
536 -7982.0006 -7982.0006 0.0 322.2298 
537 -7996.6021 -7996.6021 0.0 325.4906 
538 -7996.46 -7996.46 0.0 325.1985 
539 -7996.6007 -7996.6007 0.0 325.4619 
540 -7996.6021 -7996.6021 0.0 325.4878 
